hurricane,2.45,1.43,7,2
hawk,5.46,1.56,4.68,2.25
hurt,1.66,1.08,5.68,2.4
hay,5.3,0.66,3.05,2.09
hydrant,4.96,1,3.77,1.75
headache,1.88,0.99,5,2.86
icebox,4.91,1.11,3.59,2.22
headlight,5.45,1.19,3.85,2.06
idea,7.57,1.33,6.14,1.83
heal,7.45,1.6,4.9,2.39
identity,6.95,1.76,4.8,2.19
health,6.75,2.11,5.03,2.15
idiot,3,1.62,3.83,2.52
heart,7.9,1.33,6.55,2.44
idol,6.55,1.93,5.15,2.08
ignorance,3.21,2.62,4.83,2.66
jealousy,2.4,2.22,7,2.5
illness,2.27,1.35,4.82,2.26
jelly,5.62,1.61,3.54,2.17
imagine,7.52,1.44,6.32,2.17
jewel,7.24,1.5,5.31,2.49
immature,2.65,1.35,4.1,1.94
joke,8,1.76,6.82,1.79
immoral,3.29,2.05,5.17,2.53
jolly,7.45,1.88,5.45,2.89
impair,3,2.14,4.46,2.3
journal,5.32,1.7,3.68,2.38
impotent,2.54,1.56,4.5,2.32
joy,8.62,0.7,6.73,2.44
impressed,7.62,1.7,5.24,2.76
joyful,8.52,0.85,5.81,2.7
improve,7.9,1.02,5.8,2.07
jug,5,0.79,3.5,2.04
incentive,6.95,1.96,5.95,2.44
justice,7.93,1.13,5.71,2.62
indifferent,4.46,1.06,3.17,1.97
kerchief,4.81,1.27,3.27,2.31
industry,5.06,1.7,4.34,2.48
kerosene,4.77,1.75,4.36,2.55
infant,7.95,1.5,5.5,2.61
ketchup,5.68,1.29,4.52,2.14
infatuation,6.5,2.21,6.96,1.75
kettle,5.25,0.72,2.85,1.98
infection,1.48,0.85,5.22,2.84
key,5.96,1.65,3.5,2.27
inferior,3.05,1.15,4.45,1.88
kick,4.1,2.4,5.65,2.06
inhabitant,5.27,1.32,3.27,2.1
kids,6.96,2.34,5.27,2.66
injury,1.85,1.16,5.81,1.86
killer,1.43,1.2,8.35,1.43
ink,5.08,0.63,4,1.91
kind,7.62,1.82,4.69,2.58
innocent,6.76,1.3,3.82,2.2
kindness,8.38,0.94,3.76,2.76
insane,2.23,1.8,5.95,2.63
king,7.34,1.67,5.48,2.86
insect,3.68,2.32,4.19,2.62
kiss,8.24,1.7,7.55,1.68
insecure,2.41,1.45,6.14,2.29
kitten,7,1.9,5.15,2.49
insolent,4.12,1.75,5.19,2.28
knife,2.64,1.78,5.77,2.23
inspire,7.35,1.23,4.96,2.88
knot,4.82,1.3,4.62,1.96
inspired,7.58,1.77,6.04,2.86
knowledge,7.6,1.14,5.9,2.38
insult,1.68,1.13,6.55,2.44
lake,7.1,1.5,3.86,2.66
intellect,6.88,1.82,4.92,2.77
lamb,6.25,1.57,3.42,2
intercourse,7.05,1.46,6.68,2.19
lamp,5.75,1.12,3.9,2.15
interest,7.3,1.82,5.87,2.62
lantern,5.64,1.29,4,2.3
intimate,7.52,1.81,6.92,2.45
laughter,8.35,1.31,6.7,2.39
intruder,2.08,2.19,7.15,2.46
lavish,6.8,1.74,4.95,2.61
invader,2.46,1.91,6.5,2.13
lawn,5.23,0.87,3.82,1.82
invest,6.25,1.86,4.8,2.76
lawsuit,3.52,2.29,5.5,2.46
iron,4.54,1.03,3.54,1.86
lazy,4.33,2.18,3,2.49
irritate,3.26,1.71,6.17,1.92
leader,7.9,1.45,6.35,2.46
item,5.2,0.95,2.95,1.96
learn,7.27,1.56,5.54,2.28
jail,1.91,1.19,5.73,2.55
legend,6.41,1.47,4.27,1.86
leisurely,7,1.76,4.52,2.52
man,7.19,1.6,6.73,1.61
leprosy,2.09,1.2,6.48,2.31
mangle,3.68,2.21,5.14,2.44
lesbian,3.38,1.81,4.5,1.79
maniac,3.2,1.77,5.55,2.96
letter,6.91,1.63,4.64,2.54
manner,5.62,1.66,4.41,1.65
liberty,8.1,1.19,5.47,2.75
mantel,4.96,1.12,2.88,2.11
lice,2.12,1.45,4.92,2.34
manure,3.23,1.74,4.27,1.93
lie,2.28,1.55,6.25,2.53
market,5.5,1.01,3.55,1.92
life,7.38,1.7,6.26,2.49
massacre,2.32,2.03,5.43,2.79
lightbulb,5.77,1.42,4.38,2.14
masterful,7,1.96,4.97,3.1
lighthouse,5.58,2.34,3.96,2.51
masturbate,4.35,1.85,5.27,2.39
lightning,4,2.48,6.69,1.76
material,5.25,0.91,3.55,2.21
limber,5.9,1.7,4.52,2.44
measles,2.47,2.08,5.38,2.43
lion,5.54,1.92,6.54,1.86
medicine,5.76,2.23,4.48,2.29
listless,3.92,1.62,3.58,2.06
meek,3.38,1.6,4.19,2.33
lively,7.42,2.23,5.8,2.84
melody,7.5,1.4,5.2,2.17
locker,5.45,0.89,3.35,1.87
memories,7.59,1.62,6,2
loneliness,1.59,1.01,4.52,3
memory,6.4,1.5,5.4,2.04
lonely,2.15,2.01,4.92,2.78
menace,2.68,1.55,5.72,2.21
loser,1.95,1.4,5.05,2.55
merry,8.09,1.6,5.5,2.72
lost,2.54,1.9,5.77,2.83
messy,3.16,1.64,3.79,2.72
lottery,6.46,2.39,5.76,2.44
metal,4.8,1.01,3.75,2
louse,2.15,1.38,5.31,1.85
method,5.2,1.4,3.25,2.02
love,8.77,0.65,6.42,3.49
mighty,6.88,2.3,5.81,2.23
loved,8.83,0.47,6.69,2.77
mildew,3.08,1.44,4.08,1.81
loyal,7.93,1.6,5.24,2.53
milk,5.45,2.31,2.8,2.09
lucky,8.35,0.88,6.15,2.62
millionaire,7.92,1.47,6.35,2.54
lump,3.58,2.52,5.36,2.78
mind,6.85,1.53,4.75,2.67
luscious,7.48,1.08,4.96,2.65
miracle,8.72,0.61,7.72,1.81
lust,6.92,1.62,6.85,1.78
mischief,5.73,2.21,5.77,1.77
luxury,8.03,0.98,5.04,3
misery,1.59,1.62,5.36,2.74
machine,5.46,1.64,3.83,2.55
mistake,2.54,1.47,5.21,2.41
mad,2.52,2.11,6.67,2.24
mobility,6.95,1.7,4.59,2.24
madman,3.24,2.62,5.88,3.14
modest,5.81,1.3,3.65,2.31
maggot,1.92,1.32,5.54,2.9
mold,3.19,1.63,4.14,2.4
magical,7.82,1.5,5.86,2.64
moment,5.92,1.63,3.38,2.08
mail,7.18,1.71,5.55,2.34
money,7.45,1.35,6,2.51
malaria,2.41,1.44,4.81,2.4
month,5.07,1.16,4,1.83
malice,2.38,1.68,6.08,2.9
moody,2.96,1.57,4.33,2.5
moral,6.45,1.15,4.4,2.21
nude,5.88,0.91,5.73,1.59
morbid,2.62,2.14,5.22,2.77
nuisance,2.85,1.87,4.6,2.96
morgue,1.7,1.15,5.26,3.09
nun,5.23,2.05,2.81,1.86
mosquito,2.3,1.38,4.85,2.68
nurse,5.77,2.16,4.81,1.77
mother,8.74,0.75,6.74,2.38
nursery,6.31,2.45,4.64,3.03
mountain,6.86,1.52,5.27,2.39
obesity,2.81,2.14,4.52,3.02
movie,6.93,1.49,4.86,2.67
obey,4.52,1.78,4.38,1.4
mucus,2.8,2.12,3.4,2.46
obnoxious,3.05,2.5,5,2.77
muddy,4.15,2.2,4.44,2.24
obscene,3.48,2.12,4.62,2.25
muffin,6.77,2.14,5.19,2.5
obsession,3.69,1.89,6.19,2.43
murderer,1.42,0.81,7.42,2.14
ocean,7.28,1.83,4.76,2.87
muscular,7.09,1.35,5.29,2.15
odd,4.46,2.25,4.12,2.44
museum,5.62,1.63,3,1.76
offend,2.23,1.23,5.41,2.48
mushroom,5.5,2.18,4.5,2.2
office,5.19,1.27,4.08,2.04
music,8.43,0.9,5.13,3.48
opinion,6.58,1.47,5.08,2.4
mutation,3.56,2.33,4.85,2.62
optimism,7.8,1.7,5.9,2.59
mutilate,1.97,1.57,6.03,3.13
option,6.76,1.37,4.95,1.83
mystic,6.04,2.35,5.38,2.79
orchestra,6.31,1.49,3.75,2.38
naked,5.83,2.62,5.78,2.49
orgasm,8.19,1.36,8.27,1.08
name,5.21,2.47,3.83,2.43
outdoors,7.58,1.21,6.35,2.45
narcotic,4.09,2.58,5.33,2.65
outrage,3.35,2.03,7.15,2.18
nasty,3.12,2.39,4.84,2.54
outstanding,7.96,1.9,6.44,2.6
natural,6.62,1.6,3.62,2.38
overcast,3.33,1.65,2.95,1.77
nature,7.77,1.34,4.24,2.45
overwhelmed,3.88,2.64,7.29,1.97
nectar,6.96,1.4,4.08,2.33
owl,5.58,1.33,3.96,1.73
needle,3.62,1.83,5.62,3.09
pain,1.54,1.63,7.12,2.52
neglect,1.9,1.12,5.15,2.52
paint,6.05,1.8,3.86,2.41
nervous,2.91,1.54,7.5,1.74
palace,7.65,1.5,5.29,2.71
neurotic,4.08,2.36,5.42,2.89
pamphlet,4.73,0.98,3.81,2.09
news,5.1,1.87,5.73,1.72
pancakes,5.62,2.14,4.19,2.3
nice,6.35,2.88,4.12,2.49
panic,2.73,1.69,7.5,1.56
nightmare,1.57,1.53,7.65,2.48
paper,5.13,1.14,2.52,1.78
nipple,5.48,1.66,4.73,2.46
paradise,8.85,0.37,4.4,3.28
noisy,4.95,2.15,6.59,1.84
paralysis,1.64,1.09,4.64,2.9
nonchalant,4.77,0.86,3.12,1.93
part,5.12,1.93,3.23,2.42
nonsense,4.18,1.44,3.55,1.92
party,8.35,1.7,6.76,3.06
noose,3.35,1.6,4.05,1.96
passage,5.12,1.58,4.31,2.26
nourish,6.7,1.42,4.15,2.76
passion,8.1,1.32,7.1,2.78
pasta,6.69,1.62,5,2
pressure,3.27,1.93,6.55,2.15
patent,5.1,0.86,3.68,1.81
prestige,7.09,2.14,5.59,2.38
patient,5.86,1.82,4.23,2.52
pretty,7.85,1.09,5.37,2.31
patriot,6.59,1.56,4.05,2.34
prick,3.45,1.65,5.27,2.31
peace,8.2,1.2,2.05,2.04
pride,7.22,2.03,5.84,2.26
penalty,2.55,1.43,5.55,2.21
priest,6.65,1.65,3.71,2.71
pencil,5.19,0.69,3.19,1.92
prison,1.97,1.15,5.61,2.22
penis,6.25,1.71,6,2.45
privacy,5.96,1.48,4.23,1.7
penthouse,6.73,1.67,4.91,2.47
profit,7.54,1.21,6.27,1.8
people,7.77,1.63,6.73,2.15
progress,8,1.3,6.29,2.53
perfection,6.97,2.1,6.32,2.56
promotion,8.28,0.96,6.74,2.41
perfume,7.23,1.38,4.91,2.35
protected,8.12,1.09,4.08,3.29
person,6.22,1.84,4.42,2.66
proud,8,1.78,5.39,3.23
pervert,2.08,1.41,6.28,2.49
pungent,3.5,2.01,4.3,2.18
pest,2.76,1.59,5.77,2.08
punishment,2.12,1.37,6,2.37
pet,7.8,1.4,5.15,2.62
puppy,7.66,1.74,5.76,2.85
phase,5.14,1.06,4.57,1.47
pus,2.88,1.68,4.73,1.85
pie,6.38,2.16,3.81,2.53
putrid,2.12,1.62,5.88,2.23
pig,5.05,1.82,3.65,2.48
python,3.12,2.12,6.62,2.12
pillow,7.95,1.61,2.45,2.04
quality,6.15,1.52,4.46,2.28
